DataSourceCode,Organization,DataSource,indicator,econ_code,econ_name,region,income_class,production_year,wgi_dimension,value,minimum,maximum,orientation
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,AFG,Afghanistan,South Asia,Low income,2004,pv,5.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,AFG,Afghanistan,South Asia,Low income,2004,pv,4.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,AGO,Angola,Sub-Saharan Africa,Lower middle income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,AGO,Angola,Sub-Saharan Africa,Lower middle income,2004,pv,5.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,ALB,Albania,Europe & Central Asia,Upper middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,ALB,Albania,Europe & Central Asia,Upper middle income,2004,pv,5.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,ARE,United Arab Emirates,Middle East & North Africa,High income,2004,pv,1.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,ARE,United Arab Emirates,Middle East & North Africa,High income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,ARG,Argentina,Latin America & Caribbean,Upper middle income,2004,pv,9.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,ARG,Argentina,Latin America & Caribbean,Upper middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,ARM,Armenia,Europe & Central Asia,Upper middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,ARM,Armenia,Europe & Central Asia,Upper middle income,2004,pv,6.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2004,pv,4.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BDI,Burundi,Sub-Saharan Africa,Low income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BDI,Burundi,Sub-Saharan Africa,Low income,2004,pv,4.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BEN,Benin,Sub-Saharan Africa,Lower middle income,2004,pv,9.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BEN,Benin,Sub-Saharan Africa,Lower middle income,2004,pv,9.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2004,pv,4.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BFA,Burkina Faso,Sub-Saharan Africa,Low income,2004,pv,6.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BGD,Bangladesh,South Asia,Lower middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BGD,Bangladesh,South Asia,Lower middle income,2004,pv,4.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BGR,Bulgaria,Europe & Central Asia,High income,2004,pv,9.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BGR,Bulgaria,Europe & Central Asia,High income,2004,pv,8.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BHR,Bahrain,Middle East & North Africa,High income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BHR,Bahrain,Middle East & North Africa,High income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BLR,Belarus,Europe & Central Asia,Upper middle income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BLR,Belarus,Europe & Central Asia,Upper middle income,2004,pv,4.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BOL,Bolivia,Latin America & Caribbean,Lower middle income,2004,pv,6.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BOL,Bolivia,Latin America & Caribbean,Lower middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BRA,Brazil,Latin America & Caribbean,Upper middle income,2004,pv,8.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BRA,Brazil,Latin America & Caribbean,Upper middle income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2004,pv,10.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2004,pv,8.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,CAF,Central African Republic,Sub-Saharan Africa,Low income,2004,pv,3.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,CAF,Central African Republic,Sub-Saharan Africa,Low income,2004,pv,6.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Anti-Democratic Actors,CHL,Chile,Latin America & Caribbean,High income,2004,pv,7.0,0,10,1
BTI,Bertelsmann Foundation,Bertelsmann Transformation Index,Consensus-Building – Cleavage/Conflict Management,CHL,Chile,Latin America & Caribbean,High income,2004,pv,9.0,0,10,1
