DataSourceCode,Organization,DataSource,indicator,econ_code,econ_name,region,income_class,production_year,wgi_dimension,value,minimum,maximum,orientation
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2002,rl,0.908,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2002,rl,0.952,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2002,rl,0.944,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2002,rl,0.565,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,BWA,Botswana,Sub-Saharan Africa,Upper middle income,2002,rl,0.5730000000000001,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2002,rl,0.902,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2002,rl,0.977,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2002,rl,0.885,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2002,rl,0.361,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,2002,rl,0.428,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Had something stolen from house,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2002,rl,0.911,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Have been physically attacked,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2002,rl,0.958,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,How often feared crime in home,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2002,rl,0.959,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust Police,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2002,rl,0.506,0,1,1
AFR,Afrobarometer,Afrobarometer Surveys,Trust courts of law,GHA,Ghana,Sub-Saharan Africa,Lower middle income,2002,rl,0.446,0,1,1
