ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
ADOcc1996,Andorra,ADO,,,1996,cc,1,1.3626213,0.43525349999999996,0.6488056,2.076437,75.4363736,8.8101983,60.9876484,89.8850987,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875
AFGcc1996,Afghanistan,AFG,South Asia,Low income,1996,cc,2,-1.7175700999999999,0.3430487,-2.28017,-1.1549702,13.088573,6.9438325,1.7006877,24.476458299999997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.148,..,..,..,0
AGOcc1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,cc,4,-1.1160752999999999,0.2316749,-1.4960221,-0.7361285,25.2637507,4.689455,17.573044499999998,32.954457,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.191,..,..,..,0.125
ALBcc1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,cc,3,-0.8375515,0.2955622,-1.3222734999999999,-0.35282949999999996,30.901499899999997,5.9826324,21.0899827,40.713017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333,..,..,0.317,..,..,..,0.25
AREcc1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,cc,4,0.24139129999999998,0.2316749,-0.1385555,0.6213381,52.7409578,4.6894551,45.050251499999995,60.4316641,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3333333,..,..,0.865,..,..,..,0.75
ARGcc1996,Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,cc,6,-0.22484089999999998,0.1996623,-0.5522870999999999,0.1026053,43.3037026,4.0414717,36.6756891,49.9317162,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,0.4216667,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,0.39199999999999996,..,0.23829999999999998,..,0.5
ARMcc1996,Armenia,ARM,Europe & Central Asia,Upper middle income,1996,cc,2,-0.5723184,0.3430487,-1.1349183,-0.0097185,36.2702248,6.9438325,24.8823395,47.658110099999995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33099999999999996,..,..,..,0.375
ATGcc1996,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,cc,1,0.8945863,0.43525349999999996,0.1807706,1.6084019999999999,65.962627,8.8101983,51.5139018,80.4113521,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
AUScc1996,Australia,AUS,East Asia & Pacific,High income,1996,cc,6,2.150333,0.1996623,1.8228867999999998,2.4777792,91.3808672,4.0414717,84.7528536,98.00888069999999,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.84,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.966,..,0.8999999999999999,..,1
AUTcc1996,Austria,AUT,Europe & Central Asia,High income,1996,cc,6,1.9301226999999999,0.1996623,1.6026764999999998,2.2575689,86.9234728,4.0414717,80.2954592,93.5514863,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,0.865,..,..,..,..,..,..,..,..,..,..,..,..,0.8333332999999999,..,..,0.9329999999999999,..,0.7166,..,0.875
