ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
ADOge1996,Andorra,ADO,,,1996,ge,1,0.7592137,0.44396919999999995,0.0311042,1.4873231999999998,66.1026449,8.6325462,51.9452692,80.26002059999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
AFGge1996,Afghanistan,AFG,South Asia,Low income,1996,ge,1,-2.3386312,0.44396919999999995,-3.0667407,-1.6105216999999998,5.8680866,6.1053239,0.0,20.025462299999997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
AGOge1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,ge,3,-0.5703424,0.30123469999999997,-1.0643673,-0.0763175,40.2507295,5.8572134,30.6448994,49.856559499999996,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,0.375
ALBge1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,ge,2,-0.9700687,0.3587892,-1.5584829999999998,-0.3816544,32.478443299999995,6.9763044999999995,21.037303899999998,43.9195827,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,..,0.375
AREge1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,ge,3,0.47262119999999996,0.30123469999999997,-0.021403699999999998,0.9666461,60.5301346,5.8572134,50.9243045,70.1359646,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,0.75
ARGge1996,Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,ge,6,0.19945739999999998,0.25192929999999997,-0.2137067,0.6126214999999999,55.2187322,4.8985189,47.185161199999996,63.2523032,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,0.4333333,..,..,..,..,..,..,..,..,0.19999999999999998,..,..,..,0.5,..,..,..,..,0.46459999999999996,..,0.5
ARMge1996,Armenia,ARM,Europe & Central Asia,Upper middle income,1996,ge,1,-0.2734013,0.44396919999999995,-1.0015108,0.4547082,46.0244582,8.6325462,31.8670825,60.181833899999994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5
ATGge1996,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,ge,1,0.7592137,0.44396919999999995,0.0311042,1.4873231999999998,66.1026449,8.6325462,51.9452692,80.26002059999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.75
AUSge1996,Australia,AUS,East Asia & Pacific,High income,1996,ge,5,1.6011521,0.2527495,1.1866429,2.0156613,82.47331199999999,4.9144666,74.41358679999999,90.5330372,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,0.6725,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5395,..,1
AUTge1996,Austria,AUT,Europe & Central Asia,High income,1996,ge,5,1.7877178,0.2527495,1.3732086,2.2022269999999997,86.1008992,4.9144666,78.041174,94.16062439999999,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.7483333,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,0.5999333,..,0.875
