ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
ADOpv1996,Andorra,ADO,,,1996,pv,1,1.2502075,0.41535,0.5690335,1.9313814999999999,87.2499382,7.0948427,75.6143961,98.88548019999999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1
AFGpv1996,Afghanistan,AFG,South Asia,Low income,1996,pv,2,-2.8176463,0.36498749999999996,-3.4162258,-2.2190668,17.7644852,6.2345706,7.5397894,27.989181,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03125,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0625
AGOpv1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,pv,4,-2.4803682,0.30406489999999997,-2.9790346,-1.9817018,23.5257349,5.1939148,15.0077147,32.0437551,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,0.03125,..,..,..,..,..,..,..,0.6212120999999999,..,..,..,..,..,..,0.125
ALBpv1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,pv,4,-0.7225509,0.3277727,-1.2600981,-0.1850037,53.5520676,5.598882,44.3699011,62.734233999999994,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.53125,..,..,..,..,..,..,..,0.9090908999999999,..,..,0.4367,..,..,..,0.4375
AREpv1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,pv,4,1.0535653999999999,0.30406489999999997,0.5548989999999999,1.5522318,83.8909764,5.1939148,75.37295619999999,92.4089966,..,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,..,..,..,0.96875,..,..,..,..,..,..,..,0.7979798,..,..,..,..,..,..,0.9375
ARGpv1996,Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,pv,5,0.029370499999999997,0.2913299,-0.4484105,0.5071515,66.3960884,4.976380499999999,58.2348243,74.5573525,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,0.65625,..,..,..,..,..,..,..,0.8484847999999999,..,..,0.6927,..,..,..,0.625
ARMpv1996,Armenia,ARM,Europe & Central Asia,Upper middle income,1996,pv,3,-1.1966683999999999,0.3435455,-1.7600829999999998,-0.6332538,45.4533819,5.8683067,35.8293588,55.0774049,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8125,..,..,..,..,..,..,..,..,..,..,0.27959999999999996,..,..,..,0.375
ATGpv1996,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,pv,1,0.7065855,0.41535,0.0254115,1.3877595,77.9640044,7.0948427,66.32846239999999,89.5995465,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875
AUSpv1996,Australia,AUS,East Asia & Pacific,High income,1996,pv,5,1.503766,0.2913299,1.025985,1.981547,91.5811232,4.9763806,83.419859,99.74238729999999,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,0.875,..,..,..,..,..,..,..,0.9141414,..,..,0.6678,..,..,..,1
AUTpv1996,Austria,AUT,Europe & Central Asia,High income,1996,pv,5,1.4189751,0.2913299,0.9411940999999999,1.8967561,90.1327589,4.976380499999999,81.9714948,98.294023,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,0.8838383999999999,..,..,0.6604,..,..,..,0.9375
