ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
ADOrl1996,Andorra,ADO,,,1996,rl,2,0.9914350999999999,0.4243771,0.29545669999999996,1.6874135,74.0280057,7.3038279,62.049727999999995,86.0062835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9375
AFGrl1996,Afghanistan,AFG,South Asia,Low income,1996,rl,3,-1.9170946999999998,0.38423219999999997,-2.5472354999999998,-1.2869538999999999,23.9701623,6.6129063,13.1249959,34.8153286,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,0.055999999999999994,..,..,..,0.1875
AGOrl1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,rl,6,-1.570214,0.20834,-1.9118916,-1.2285363999999999,29.940223099999997,3.5856779,24.0597113,35.8207349,..,..,..,..,..,..,..,..,..,0.075,..,..,..,..,..,..,..,0.3,..,0,..,..,..,..,..,..,..,0.3333333,..,..,0.22399999999999998,..,..,..,0.25
ALBrl1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,rl,6,-0.39460059999999997,0.2545822,-0.8121153999999999,0.0229142,50.1733565,4.3815386,42.9876332,57.3590799,..,..,..,..,..,..,..,..,..,..,..,..,0.375,..,..,..,..,0.5,..,0.5,..,..,..,..,..,..,..,0.6666667,..,..,0.744,..,..,..,0.25
ARErl1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,rl,6,0.6268910999999999,0.20834,0.2852135,0.9685687,67.75394709999999,3.5856779,61.8734353,73.6344589,..,..,..,..,..,..,..,..,..,0.525,..,..,..,..,..,..,..,0.8999999999999999,..,1,..,..,..,..,..,..,..,0.6666667,..,..,0.27599999999999997,..,..,..,0.875
ARGrl1996,Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,rl,9,0.1293667,0.185324,-0.1745647,0.43329809999999996,59.1912023,3.1895567999999996,53.960329099999996,64.4220754,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,0.4573333,..,..,0.7,..,0.5,..,..,..,0.3966667,..,..,..,0.8333332999999999,..,..,0.737,..,0.3339667,..,0.625
ARMrl1996,Armenia,ARM,Europe & Central Asia,Upper middle income,1996,rl,5,-0.2632008,0.2765858,-0.7168015,0.19039989999999998,52.434839499999995,4.760236,44.6280524,60.2416266,..,..,..,..,..,..,..,..,..,..,..,..,0.375,..,..,..,..,0.5,..,0.5,..,..,..,..,..,..,..,..,..,..,0.46399999999999997,..,..,..,0.5
ATGrl1996,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,rl,2,0.9792620999999999,0.4243771,0.28328369999999997,1.6752405,73.8184998,7.3038279,61.8402221,85.7967776,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8125
AUSrl1996,Australia,AUS,East Asia & Pacific,High income,1996,rl,8,1.6900906999999998,0.1868126,1.383718,1.9964633999999999,86.05236,3.2151766,80.7794703,91.32524959999999,..,..,..,..,..,..,..,..,..,0.8999999999999999,..,..,..,..,0.7536666999999999,..,..,0.8999999999999999,..,1,..,..,..,..,..,..,..,1,..,..,0.966,..,0.7692333,..,0.9375
AUTrl1996,Austria,AUT,Europe & Central Asia,High income,1996,rl,8,1.8410601,0.1868126,1.5346874,2.1474328,88.6506495,3.2151766,83.3777599,93.9235392,..,..,..,..,..,..,..,..,..,0.9249999999999999,..,..,..,..,0.8173332999999999,..,..,0.8999999999999999,..,1,..,..,..,..,..,..,..,1,..,..,0.9179999999999999,..,0.8481,..,1
AZErl1996,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1996,rl,6,-1.2189282,0.21075649999999999,-1.5645689,-0.8732875,35.9860988,3.627268,30.0373792,41.934818299999996,..,..,..,..,..,..,..,..,..,0.19999999999999998,..,..,0.25,..,..,..,..,0.3,..,0,..,..,..,..,..,..,..,..,..,..,0.191,..,..,..,0.3125
