ID variable (economy code/ gov. dimension/ year),Economy (name),Economy (code),Region,Income classification,Year,Governance dimension,Number of sources,Governance estimate (approx. -2.5 to +2.5),Standard error (estimate),Lower threshold (90% conf. int. estimate),Upper threshold (90% conf. int. estimate),Governance score (0-100),Standard error (gov. score),Lower threshold (90% conf. int. score),Upper threshold (90% conf. int. score),ADB mean,AFR mean,ARB mean,ASB mean,ASD mean,BPS mean,BTI mean,CCR mean,EBR mean,EIU mean,EQI mean,EUB mean,FRH mean,GCB mean,GCS mean,GII mean,GWP mean,HER mean,HRM mean,HUM mean,IFD mean,IJT mean,IRP mean,LBO mean,MSI mean,OBI mean,PIA mean,PRS mean,RSF mean,VAB mean,VDM mean,WBS mean,WCY mean,WJP mean,WMO mean
ADOrq1996,Andorra,ADO,,,1996,rq,1,1.4172329,0.48491779999999995,0.6219677,2.2124981,77.2145681,7.6478427,64.6721061,89.7570301,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9166667
AFGrq1996,Afghanistan,AFG,South Asia,Low income,1996,rq,1,-2.4898792,0.48491779999999995,-3.2851443999999996,-1.6946139999999998,15.5938597,7.6478427,3.0513977,28.1363217,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0
AGOrq1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,rq,4,-1.6547732,0.2792826,-2.1127967,-1.1967497,28.7646677,4.4046837,21.540986399999998,35.988349,..,..,..,..,..,..,..,..,..,0.1428571,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,..,..,0.2727273,..,..,..,..,..,..,0.25
ALBrq1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,rq,4,-0.7899984,0.3066326,-1.2928758999999999,-0.2871209,42.4033948,4.8360321,34.4723022,50.3344874,..,..,..,..,..,..,..,..,0.4725,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,0.4545455,..,..,..,..,..,..,0.375
ARErq1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,rq,4,0.47337419999999997,0.2792826,0.0153507,0.9313977,62.3285755,4.4046837,55.1048942,69.5522568,..,..,..,..,..,..,..,..,..,0.7142856999999999,..,..,..,..,..,..,..,0.39999999999999997,..,..,..,..,..,..,..,..,..,0.5454545,..,..,..,..,..,..,0.75
ARGrq1996,Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,rq,6,0.235173,0.24054029999999998,-0.15931309999999999,0.6296590999999999,58.571804199999995,3.7936623,52.350198,64.7934104,..,..,..,..,..,..,..,..,..,0.6071428999999999,..,..,..,..,0.45999999999999996,..,..,0.7,..,..,..,..,..,..,..,..,..,0.4545455,..,..,..,..,0.5062778,..,0.625
ARMrq1996,Armenia,ARM,Europe & Central Asia,Upper middle income,1996,rq,3,-0.7676027999999999,0.3384282,-1.322625,-0.21258059999999998,42.756605199999996,5.337492999999999,34.0031167,51.5100938,..,..,..,..,..,..,..,..,0.4166667,..,..,..,..,..,..,..,..,0.39999999999999997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4583333
ATGrq1996,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,rq,1,0.5292526,0.48491779999999995,-0.2660126,1.3245178,63.209857299999996,7.6478427,50.667395299999995,75.7523192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7083332999999999
AUSrq1996,Australia,AUS,East Asia & Pacific,High income,1996,rq,6,0.9279464,0.24054029999999998,0.5334603,1.3224325,69.4978249,3.7936623,63.276218699999994,75.7194311,..,..,..,..,..,..,..,..,..,0.7142856999999999,..,..,..,..,0.4608333,..,..,0.7999999999999999,..,..,..,..,..,..,..,..,..,0.4545455,..,..,..,..,0.5706110999999999,..,1
AUTrq1996,Austria,AUT,Europe & Central Asia,High income,1996,rq,6,1.3555332,0.24054029999999998,0.9610470999999999,1.7500193,76.2414762,3.7936623,70.0198699,82.46308239999999,..,..,..,..,..,..,..,..,..,0.8214286,..,..,..,..,0.5808333,..,..,0.7999999999999999,..,..,..,..,..,..,..,..,..,0.6363635999999999,..,..,..,..,0.5962444,..,1
AZErq1996,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1996,rq,4,-1.2749156,0.2695171,-1.7169235999999999,-0.8329076,34.7555617,4.250667099999999,27.7844676,41.726655799999996,..,..,..,..,..,..,..,..,0.3333333,0.3214286,..,..,..,..,..,..,..,0.19999999999999998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2916667
